accession,name,ncbi_group,group,strain,biosample,bioproject,study,source,reference,status,size,gc,replicons,wgs,scaffolds,CDS,release_date,genbank_ftp,refseq_ftp
GCA_003280605.1,SAR116 cluster bacterium AG-355-O21,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,AG-355-O21,SAMN08886219,PRJna445865,single cells of cyanobacteria and sympatric microorgnaisms,marine,Berube et al. 2018 Sci Data,Contig,2.58203,54.6,,QCEM01,119,0,2018-06-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/280/605/GCA_003280605.1_ASM328060v1,
GCA_003278095.1,SAR116 cluster bacterium AG-390-L20,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,AG-390-L20,SAMN08886286,PRJna445865,single cells of cyanobacteria and sympatric microorgnaisms,marine,Berube et al. 2018 Sci Data,Contig,2.22605,30.9,,QCHB01,33,0,2018-06-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/278/095/GCA_003278095.1_ASM327809v1,
GCA_003210115.1,SAR116 cluster bacterium AG-426-A06,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,AG-426-A06,SAMN08886453,PRJna445865,single cells of cyanobacteria and sympatric microorgnaisms,marine,Berube et al. 2018 Sci Data,Contig,1.33168,29.7,,QCNM01,112,0,2018-06-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/115/GCA_003210115.1_ASM321011v1,
GCA_003213175.1,SAR116 cluster bacterium AG-426-B08,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,AG-426-B08,SAMN08886454,PRJna445865,single cells of cyanobacteria and sympatric microorgnaisms,marine,Berube et al. 2018 Sci Data,Contig,1.47111,29.8,,QCNN01,94,0,2018-06-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/213/175/GCA_003213175.1_ASM321317v1,
GCA_003210055.1,SAR116 cluster bacterium AG-426-I14,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,AG-426-I14,SAMN08886459,PRJna445865,single cells of cyanobacteria and sympatric microorgnaisms,marine,Berube et al. 2018 Sci Data,Contig,1.87695,29.6,,QCNS01,65,0,2018-06-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/055/GCA_003210055.1_ASM321005v1,
GCA_003212315.1,SAR116 cluster bacterium AG-447-C21,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,AG-447-C21,SAMN08886520,PRJna445865,single cells of cyanobacteria and sympatric microorgnaisms,marine,Berube et al. 2018 Sci Data,Contig,2.67074,41.7,,QCQB01,120,0,2018-06-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/212/315/GCA_003212315.1_ASM321231v1,
GCA_003209665.1,SAR116 cluster bacterium AG-447-K02,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,AG-447-K02,SAMN08886522,PRJna445865,single cells of cyanobacteria and sympatric microorgnaisms,marine,Berube et al. 2018 Sci Data,Contig,2.24697,41.6,,QCQD01,108,0,2018-06-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/209/665/GCA_003209665.1_ASM320966v1,
GCA_002690525.1,SAR324 cluster bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,MED745,SAMN07620098,PRJna391943,Reconstruction of MAGs from global oceans TARA oceans,marine,Tully et al. 2018 Sci Data,Contig,3.1228,44.8,,NZEX01,187,2933,2017-10-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/690/525/GCA_002690525.1_ASM269052v1,
GCA_000224765.2,SAR324 cluster bacterium JCVI-SC AAA005,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,JCVI-SC AAA005,SAMN00699809,PRJna71321,scripps pier,marine,na,Contig,4.25598,43.3,,AGAU01,646,0,2011-08-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/765/GCA_000224765.2_sar324_mda,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/765/GCF_000224765.1_sar324_mda
GCA_001627675.1,SAR324 cluster bacterium REDSEA-S11_B7,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,REDSEA-S11_B7,SAMN04534638,PRJna289734,marine Red Sea metagenome,marine,Haroon et al. 2016 Sci Data,Scaffold,2.53825,47.5,,LUQJ01,416,0,2016-04-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/627/675/GCA_001627675.1_ASM162767v1,
GCA_002919385.1,Sinobacteraceae bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,RSA12,SAMN08158225,PRJna421843,compost metagenome,terrestrial,na,Contig,3.96429,67.2,,PKEQ01,536,0,2018-02-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/919/385/GCA_002919385.1_ASM291938v1,
GCA_002732675.1,Sneathiella sp.,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,NORP162,SAMN07568976,PRJna391950,subsurface metagenome,subsurface,Tully et al. 2018 ,Contig,2.35616,52.2,,NVRR01,243,2406,2017-10-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/732/675/GCA_002732675.1_ASM273267v1,
GCA_000445145.1,Sphingobium baderi LL03,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,LL03,SAMN02471716,PRJna202090,isolate,terrestrial,Kaur et al. 2013,Contig,4.84829,63.6,,ATIB01,92,4530,2013-08-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/145/GCA_000445145.1_ASM44514v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/145/GCF_000445145.1_ASM44514v1
GCA_001046655.1,Sphingobium baderi LL03,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,LL03,SAMN02899865,PRJna227257,czech soil,terrestrial,Pearce et al. 2015,Scaffold,4.69349,63.6,,JACV01,11,4391,2015-07-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/046/655/GCA_001046655.1_S.badLL03,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/046/655/GCF_001046655.1_S.badLL03
GCA_000474175.2,Sphingobium barthaii,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,KK22,SAMD00011324,PRJDB1457,isolate,isolate,Maeda et al. 2013,Contig,4.9166,64.7,,BATN01,252,4018,2013-09-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/474/175/GCA_000474175.2_ASM47417v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/474/175/GCF_000474175.2_ASM47417v2
GCA_000722875.1,Sphingobium chlorophenolicum,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,NBRC 16172,SAMN02670753,PRJna239212,isolate,isolate,na,Contig,4.79612,64.3,,JFHR01,129,4350,2014-07-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/722/875/GCA_000722875.1_Schl_MUMv1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/722/875/GCF_000722875.1_Schl_MUMv1
GCA_000147835.3,Sphingobium chlorophenolicum L-1,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,L-1,SAMN00016829,PRJna50015,isolate,isolate,na,Complete,4.57322,63.8346,chromosome 1:NC_015593.1/CP002798.1; chromosome 2:NC_015594.1/CP002799.1; plasmid pSPHCH01:NC_015595.1/CP002800.1,,3,4029,2011-05-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/835/GCA_000147835.3_ASM14783v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/835/GCF_000147835.2_ASM14783v3
GCA_001598515.1,Sphingobium chlorophenolicum NBRC 16172,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,NBRC 16172,SAMD00046714,PRJDB323,isolate,isolate,Takeuchi et al. 2001,Contig,4.74695,64.3,,BCZC01,334,4343,2016-03-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/598/515/GCA_001598515.1_ASM159851v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/598/515/GCF_001598515.1_ASM159851v1
GCA_002723855.1,Sphingobium fuliginis,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,OMI,SAMD00096820,PRJDB6392,isolate,isolate,Ogata et al. 2013,Scaffold,5.56581,64.4,,BEWI01,34,4938,2017-10-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/723/855/GCA_002723855.1_ASM272385v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/723/855/GCF_002723855.1_ASM272385v1
GCA_004152845.1,Sphingobium fuliginis,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,DSM 18781,SAMN10868459,PRJna520823,isolate,isolate,na,Contig,4.59564,64.9,,SEON01,21,4169,2019-02-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/152/845/GCA_004152845.1_ASM415284v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/152/845/GCF_004152845.1_ASM415284v1
GCA_006363875.1,Sphingobium fuliginis ATCC 27551,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,ATCC 27551,SAMN12012140,PRJna548252,isolate,isolate,na,Complete,5.41462,64.3715,chromosome cSF1:NZ_CP041016.1/CP041016.1; chromosome cSF2:NZ_CP041017.1/CP041017.1; plasmid pSF1:NZ_CP041018.1/CP041018.1; plasmid pSF2:NZ_CP041019.1/CP041019.1; plasmid pSF3:NZ_CP041020.1/CP041020.1; plasmid pSF4:NZ_CP041021.1/CP041021.1,,6,4635,2019-06-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/363/875/GCA_006363875.1_ASM636387v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/363/875/GCF_006363875.1_ASM636387v1
GCA_002288285.1,Sphingobium hydrophobicum,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,C1,SAMN07488776,PRJna397800,sediment,terrestrial,na,Complete,4.60264,63.1957,chromosome I:NZ_CP022745.1/CP022745.1; chromosome II:NZ_CP022746.1/CP022746.1; plasmid p1:NZ_CP022747.1/CP022747.1; plasmid p2:NZ_CP022748.1/CP022748.1; plasmid p3:NZ_CP022749.1/CP022749.1; plasmid p4:NZ_CP022750.1/CP022750.1; plasmid p5:NZ_CP022751.1/CP022751.1,,7,4173,2017-09-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/285/GCA_002288285.1_ASM228828v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/288/285/GCF_002288285.1_ASM228828v1
GCA_001757355.1,Sphingobium phenoxybenzoativorans,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,SC_3,SAMN05756205,PRJna342392,isolate,isolate,na,Contig,5.03917,62.2,,MINO01,202,4749,2016-10-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/355/GCA_001757355.1_ASM175735v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/757/355/GCF_001757355.1_ASM175735v1
GCA_002729925.1,Sphingobium sp.,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,NP43,SAMN07620108,PRJna391943,Reconstruction of MAGs from global oceans TARA oceans,marine,Tully et al. 2018 Sci Data,Contig,5.5118,62.9,,PBXY01,91,5136,2017-10-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/729/925/GCA_002729925.1_ASM272992v1,
GCA_003248935.1,Sphingobium sp.,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,S2_005_001_R2_25,SAMN07426525,PRJna376580,hospital surface,built_environment,Olm et al. 2019,Contig,3.64439,65.3,,QFQF01,52,3385,2018-06-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/248/935/GCA_003248935.1_ASM324893v1,
GCA_004297015.1,Sphingobium sp.,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,GW715_bin.21,SAMN10720229,PRJna514088,groundwater metagenome,subsurface,na,Contig,4.26883,63.1,,SCUX01,295,4033,2019-02-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/297/015/GCA_004297015.1_ASM429701v1,
GCA_001651765.1,Sphingobium sp. 20006FA,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,20006FA,SAMN05049676,PRJna322169,isolate,isolate,Coppotelli et al. 2010,Contig,5.40971,64.3,,LYMJ01,144,4887,2016-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/651/765/GCA_001651765.1_ASM165176v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/651/765/GCF_001651765.1_ASM165176v1
GCA_001580035.1,Sphingobium sp. 22B,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,22B,SAMN04511039,PRJna313003,environmental isolate,terrestrial,Madueno et al. 2016,Contig,5.36785,64.4,,LTAB01,107,4847,2016-03-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/580/035/GCA_001580035.1_ASM158003v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/580/035/GCF_001580035.1_ASM158003v1
GCA_001899715.1,Sphingobium sp. 66-54,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,66-54,SAMN05660629,PRJna279279,Metagenomic analysis of thiocyanate and cyanide biodegrading microbial consortia ,engineered,Kantor RS et al 2015 Env Micro,Scaffold,3.99611,65.6,,MKWI01,38,3709,2016-12-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/899/715/GCA_001899715.1_ASM189971v1,
GCA_003019635.1,Sphingobium sp. AEW4,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,AEW4,SAMN08688991,PRJna437995,isolate,isolate,na,Contig,4.67852,62.6,,PYGL01,54,4201,2018-03-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/635/GCA_003019635.1_ASM301963v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/635/GCF_003019635.1_ASM301963v1
GCA_001550165.1,Sphingobium sp. AM,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,AM,SAMN04364794,PRJna305642,environmental isolate,terrestrial,Festa et al. 2016,Contig,5.31883,64.5,,LRUK01,112,4802,2016-02-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/550/165/GCA_001550165.1_ASM155016v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/550/165/GCF_001550165.1_ASM155016v1
GCA_000743655.1,Sphingobium sp. ba1,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,ba1,SAMN02911527,PRJna255228,isolate,isolate,Manzari et al. 2014,Scaffold,4.45979,63,,JPPQ01,87,4005,2014-08-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/655/GCA_000743655.1_ASM74365v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/655/GCF_000743655.1_ASM74365v1
GCA_002312805.1,Sphingobium sp. D43FB,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,D43FB,SAMN07304726,PRJna392681,soil,terrestrial,Gran-Scheuch et al. 2017,Contig,5.01872,62.5,,NMUA01,327,4486,2017-09-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/312/805/GCA_002312805.1_ASM231280v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/312/805/GCF_002312805.1_ASM231280v1
GCA_002148915.1,Sphingobium sp. GW456-12-10-14-TSB1,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,GW456-12-10-14-TSB1,SAMN06922257,PRJna386048,DOE isolate,isolate,na,Contig,5.07858,63.1,,NGUN01,6,4648,2017-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/148/915/GCA_002148915.1_ASM214891v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/148/915/GCF_002148915.1_ASM214891v1
GCA_001421665.1,Sphingobium sp. Leaf26,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,Leaf26,SAMN04151590,PRJna297956,arabidopsis root associated,plant_associated,Bai et al. 2015,Contig,4.82215,63.5,,LMKV01,33,4292,2015-11-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/421/665/GCA_001421665.1_ASM142166v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/421/665/GCF_001421665.1_ASM142166v1
GCA_001699185.1,Sphingobium sp. Ndbn-10,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,Ndbn-10,SAMN03777200,PRJna286262,isolate,isolate,na,Contig,5.02471,64.5,,LFVX01,189,4574,2016-08-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/699/185/GCA_001699185.1_ASM169918v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/699/185/GCF_001699185.1_ASM169918v1
GCA_001713415.1,Sphingobium sp. RAC03,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,RAC03,SAMN04909708,PRJna319832,isolate,isolate,na,Complete,4.36975,62.9166,chromosome:NZ_CP016456.1/CP016456.1; plasmid pBSY17_1:NZ_CP016453.1/CP016453.1; plasmid pBSY17_2:NZ_CP016457.1/CP016457.1; plasmid pBSY17_3:NZ_CP016455.1/CP016455.1; plasmid pBSY17_4:NZ_CP016454.1/CP016454.1,,5,4009,2016-08-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/713/415/GCA_001713415.1_ASM171341v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/713/415/GCF_001713415.1_ASM171341v1
GCA_005406185.1,Sphingobium sp. RSMS,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,RSMS,SAMN10411096,PRJna505139,isolate,isolate,na,Scaffold,5.22956,64.5,,RPFK01,13,4714,2019-05-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/406/185/GCA_005406185.1_ASM540618v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/406/185/GCF_005406185.1_ASM540618v1
GCA_002894065.1,Sphingobium sp. SA916,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,SA916,SAMN05004525,PRJna321819,refinery soil,terrestrial,na,Contig,5.22053,64.4,,LXYF01,117,4685,2018-01-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/894/065/GCA_002894065.1_ASM289406v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/894/065/GCF_002894065.1_ASM289406v1
GCA_001725025.1,Sphingobium sp. SCN 64-10,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,,SAMN03652481,PRJna279279,Metagenomic analysis of thiocyanate and cyanide biodegrading microbial consortia ,engineered,Kantor RS et al 2015 Env Micro,Scaffold,1.29292,64.4,,MEFF01,190,1164,2016-09-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/725/025/GCA_001725025.1_ASM172502v1,
GCA_000283515.1,Sphingobium sp. SYK-6,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,SYK-6,SAMD00061118,PRJna67115,waste liquor of pulp mill,engineered,Masai et al. 2012,Complete,4.34813,65.5589,chromosome:NC_015976.1/AP012222.1; plasmid pSLPG:NC_015974.1/AP012223.1,,2,3932,2011-08-31T23:07:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/515/GCA_000283515.1_ASM28351v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/515/GCF_000283515.1_ASM28351v1
GCA_000943805.1,Sphingobium sp. YBL2,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,YBL2,SAMN03338718,PRJna275028,isolate,isolate,na,Complete,5.42742,64.4244,chromosome:NZ_CP010954.1/CP010954.1; plasmid YBL2_1:NZ_CP010955.1/CP010955.1; plasmid YBL2_2:NZ_CP010956.1/CP010956.1; plasmid YBL2_3:NZ_CP010957.1/CP010957.1; plasmid YBL2_4:NZ_CP010958.1/CP010958.1; plasmid YBL2_5:NZ_CP010959.1/CP010959.1; plasmid YBL2_6:NZ_CP010960.1/CP010960.1,,7,4956,2015-03-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/943/805/GCA_000943805.1_ASM94380v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/943/805/GCF_000943805.1_ASM94380v1
GCA_003609795.1,Sphingobium sp. YG1,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,YG1,SAMD00112194,PRJDB6740,isolate,isolate,Ohta et al. 2018,Complete,5.56389,63.099,chromosome 1:NZ_AP018518.1/AP018518.1; chromosome 2:NZ_AP018519.1/AP018519.1; plasmid pYGP1:NZ_AP018520.1/AP018520.1; plasmid pYGP2:NZ_AP018521.1/AP018521.1,,4,4970,2018-02-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/609/795/GCA_003609795.1_ASM360979v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/609/795/GCF_003609795.1_ASM360979v1
GCA_002337315.1,Sphingobium xenophagum,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,UBA1921,SAMN06450782,PRJna348753,marine metagenome,marine,Parks et al. 2017 nature Micro,Scaffold,3.32688,61.8,,DDFT01,201,0,2017-09-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/337/315/GCA_002337315.1_ASM233731v1,
GCA_002341085.1,Sphingobium xenophagum,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,UBA2525,SAMN06452965,PRJna348753,hydrothermal vent metagenome,marine,Parks et al. 2017 nature Micro,Scaffold,3.86278,63.2,,DDNH01,47,0,2017-09-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/341/085/GCA_002341085.1_ASM234108v1,
GCA_004305355.1,Sphingobium xenophagum,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,OW59,SAMD00019990,PRJDB3135,isolate,isolate,na,Contig,4.64515,62.8,,BBQY01,94,4252,2019-01-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/305/355/GCA_004305355.1_ASM430535v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/305/355/GCF_004305355.1_ASM430535v1
GCA_000367345.1,Sphingobium xenophagum NBRC 107872,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,NBRC 107872,SAMD00041805,PRJDB316,isolate,isolate,na,Contig,4.48642,62.9,,BARE01,138,4107,2013-04-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/367/345/GCA_000367345.1_ASM36734v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/367/345/GCF_000367345.1_ASM36734v1
GCA_000277525.1,Sphingobium xenophagum QYY,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,QYY,SAMN02470887,PRJna167136,isolate,isolate,Qu et al. 2013,Contig,4.22111,63.1,,AKIB01,129,3910,2012-07-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/525/GCA_000277525.1_ASM27752v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/525/GCF_000277525.1_ASM27752v1
GCA_004193535.1,Sphingomonadales bacterium,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,PMG_133,SAMN10678698,PRJna272922,Biodegradation of isoprene in the terrestrial and marine environment,terrestrial,Crombie et al. 2018 PnaS,Scaffold,6.91392,65.6,,SEFY01,3067,8353,2019-02-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/193/535/GCA_004193535.1_ASM419353v1,
GCA_005777625.1,Sphingomonadales bacterium,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,F1-120-MAGs144,SAMN11368713,PRJna531348,Lake Fuxian metagenomes,freshwater,na,Contig,7.23264,67.3,,SXLQ01,1638,0,2019-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/777/625/GCA_005777625.1_ASM577762v1,
GCA_002279825.1,Sphingomonadales bacterium 12-68-11,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,12-68-11,SAMN06622389,PRJna379596,mine drainage metagenome,engineered,na,Scaffold,2.86526,67.9,,NCCV01,9,2732,2017-08-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/279/825/GCA_002279825.1_ASM227982v1,
GCA_002280685.1,Sphingomonadales bacterium 32-64-17,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,32-64-17,SAMN06622344,PRJna379596,mine drainage metagenome,engineered,na,Scaffold,3.28894,64.2,,NCEO01,116,3094,2017-08-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/280/685/GCA_002280685.1_ASM228068v1,
GCA_002280335.1,Sphingomonadales bacterium 32-68-7,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,32-68-7,SAMN06622364,PRJna379596,mine drainage metagenome,engineered,na,Scaffold,2.66478,67.8,,NCDU01,107,2493,2017-08-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/280/335/GCA_002280335.1_ASM228033v1,
GCA_002256875.1,Sphingomonadales bacterium 39-62-4,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,39-62-4,SAMN06622234,PRJna379596,mine drainage metagenome,engineered,na,Scaffold,1.74653,62.2,,NCIU01,1043,2026,2017-08-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/256/875/GCA_002256875.1_ASM225687v1,
GCA_001898545.1,Sphingomonadales bacterium 63-6,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,63-6,SAMN05660570,PRJna279279,Metagenomic analysis of thiocyanate and cyanide biodegrading microbial consortia ,engineered,Kantor RS et al 2015 Env Micro,Scaffold,3.51244,62.4,,MKUB01,210,3106,2016-12-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/898/545/GCA_001898545.1_ASM189854v1,
